,"Defoamer Flow ","DSCHPump Speed","SCRNPump Speed","2POWPump Speed","Tank level","Production1st Stage","Production2nd Stage","Production1st POW","Production2nd POW(tpd)","Speed1st Stage","Speed2nd Stage","Speed1st POW","Speed2nd POW","Pre O2Kappa","Post O2Kappa","CODPre","CODPost","1st StageSolids","ImpregSolids","ConsistancyDischarge","North DSCH(Softwood)","Screen Feed tank","Stock1POW","2POW FD","1st StageFiltrate Tk"
,"(%)","(%)","(%)","(%)","(tpd)","(tpd)","(tpd)","(tpd)","(rpm)","(rpm)","(rpm)","(rpm)",,,,,"(%)","(%)",,"(%)","(%)","(%)","(%)",,"(Deg. F)"
"9/7/10 11:00 AM",1.81,98,98,98,32.88,1482,1563,1574,1602,8,8,9,9,12.9,8.5,236,52.2,14.7,17.5,5.1,3,4.9,4.7,5,2.4
"9/7/10 10:00 AM",1.5,65,65,65,33,1475,1499,1496,1500,8,8,9,8,12.6,9.1,236,52.2,14.7,17.5,5.1,3,4.8,4.7,5,2.2
"9/7/10 9:00 AM",1.29,65,65,65,33.12,1516,1260,1283,1332,8,6,7,8,13.1,8.7,236,52.2,15.6,17.1,4.9,3,5.1,4.5,4.8,1.2
"9/7/10 8:00 AM",1.34,65,65,65,33.24,1594,1495,1551,1618,7,8,9,9,12.5,8.2,236,52.2,15.6,17.1,4.1,3,4.8,4.6,5,3.2
"9/7/10 7:00 AM",1.22,65,65,65,33.34,1446,1496,1523,1524,7,8,9,8,13,7.8,236,52.2,15.6,17.1,5,3,4.8,4.8,5,1
"9/7/10 6:00 AM",1.24,65,65,65,33.42,1543,1498,1486,1480,8,8,9,8,12.2,8.3,236,52.2,15.6,17.1,5,3,4.9,4.8,5,1.7
"9/7/10 5:00 AM",1.2,65,65,65,33.5,1543,1539,1559,1505,7,8,9,9,12.6,8.9,236,52.2,13.6,17.1,4,3,4.8,4.8,5,2.7
"9/7/10 4:00 AM",1.25,65,65,65,33.58,1436,1433,1500,1570,8,7,9,9,12.9,8.6,236,52.2,13.6,17.1,5.2,3,4.8,4.7,4.9,0.5
"9/7/10 3:00 AM",1.15,65,65,65,33.66,1476,1604,1568,1581,8,8,10,9,12.7,8.3,236,52.2,13.6,17.1,5.1,3,4.9,4.7,5,2.3
"9/7/10 2:00 AM",1.53,65,65,65,33.73,1525,1519,1539,1561,8,8,9,9,12.6,8.8,236,52.2,13.6,17.1,4.8,3,4.8,4.7,4.9,1.3
"9/7/10 1:00 AM",1.38,65,65,65,33.81,1493,1531,1517,1554,8,8,9,9,13.1,9.3,236,52.2,13.9,17.5,5.1,3,5,4.7,5,2.6
"9/7/10 12:00 AM",1.5,65,65,65,33.89,1492,1536,1505,1469,8,8,9,9,13,10,236,52.2,13.9,17.5,5.1,3,4.9,4.7,4.9,2.8
"9/6/10 11:00 PM",1.27,65,65,65,33.97,1563,1524,1570,1628,7,8,10,9,13.9,10.2,236,52.2,13.9,17.5,4.4,3,4.7,4.7,5,0.3
"9/6/10 10:00 PM",1.38,65,65,65,34.05,1562,1558,1526,1587,9,8,9,9,13.6,8.6,236,52.2,13.9,17.5,5.1,3,4.9,4.7,5,0.9
"9/6/10 9:00 PM",1.37,65,65,65,34.14,1233,1623,1570,1590,8,9,9,9,12.5,9.2,236,52.2,13.8,17.3,5,3,4.8,4.7,5,-0.2
"9/6/10 8:00 PM",1.34,65,65,65,34.22,1545,1634,1280,1488,9,8,7,8,12.7,9,236,52.2,13.8,17.3,5.1,3,4.9,4.2,4.9,0.6
"9/6/10 7:00 PM",1.31,65,65,65,34.31,1419,844,975,1040,7,9,9,6,14.7,9.4,126.1,35,13.8,17.3,4.9,3,4.1,4.6,4.5,-0.8
"9/6/10 6:00 PM",1.18,65,65,65,34.39,1577,1585,1416,1419,8,8,8,8,15.4,9.6,126.1,35,13.8,17.3,5.2,3,4.9,4.9,5,-0.3
"9/6/10 5:00 PM",1.11,65,65,65,34.48,1562,1508,1385,1412,7,8,8,8,13.1,10,126.1,35,14,17.5,4.5,3,4.9,5.3,5.1,-1
"9/6/10 4:00 PM",0.82,65,65,65,34.56,1544,1560,1509,1601,8,8,10,9,13.3,10.1,126.1,35,14,17.5,5,3,4.9,5.3,5.2,0.4
"9/6/10 3:00 PM",0.55,65,65,65,34.63,1549,1577,1672,1577,9,8,10,9,14,8.7,126.1,35,14,17.5,5.1,3,4.9,5.2,5.2,-1.3
"9/6/10 2:00 PM",0.57,65,65,65,34.67,1544,1570,1517,1621,8,8,10,9,13.3,7.8,126.1,35,14,17.5,5.1,3,4.9,5.4,5.2,-1.6
"9/6/10 1:00 PM",0.53,45,45,45,34.71,1549,1624,1570,1687,9,8,10,9,13.9,8.2,126.1,35,14,17.5,5.2,3,4.2,5.3,5.2,-3.2
"9/6/10 12:00 PM",0.61,45,45,45,34.75,1639,1654,1644,1691,8,8,11,9,13.6,8.2,126.1,35,14,17.5,4.9,3,4.1,5.4,5.2,-3.8
"9/6/10 11:00 AM",0.57,45,45,45,34.79,1622,1595,1533,1525,9,8,10,8,13.6,8.1,126.1,35,14.2,17.5,5,3,4.2,5.5,5.2,-3.6
"9/6/10 10:00 AM",0.45,98,98,98,34.83,1439,1357,1412,1242,8,6,9,7,13.6,8.5,126.1,35,14.2,17.5,5,3,4.2,5.1,4.5,-4
"9/6/10 9:00 AM",0.88,45,45,45,34.87,3,0,0,0,0,0,0,0,13.6,8.7,126.1,35,14.2,17.5,3,3,2,2,2,-4
"9/6/10 8:00 AM",1.08,45,45,45,34.91,1613,1632,1656,1667,8,8,11,9,14.3,9.6,126.1,35,14.2,17.5,4.9,3,4.1,5.4,5.1,-3.3
"9/6/10 7:00 AM",1.05,45,45,45,34.96,1619,1612,1684,1759,9,8,11,10,14.9,8.5,126.1,35,14.6,18.8,5,3,4.2,5.3,5.2,-3.7
"9/6/10 6:00 AM",1.16,45,45,45,35.03,1601,1697,1665,1783,9,9,11,10,13.8,7.7,126.1,35,14.6,18.8,5,3,4.3,5.3,5.1,-3.3
"9/6/10 5:00 AM",1.05,45,45,45,35.1,1641,1633,1685,1728,9,8,11,9,13.1,7.8,126.1,35,14.6,18.8,5,3,4.2,5.4,5.2,-1.6
"9/6/10 4:00 AM",1.03,45,45,45,35.17,1517,1528,1633,1706,9,8,10,9,13.1,7.8,126.1,35,14.6,18.8,5.1,3,4.1,5.4,5.2,-2.7
"9/6/10 3:00 AM",1.08,45,45,45,35.24,1556,1567,1598,1645,8,8,10,9,13.1,8.2,126.1,35,14.6,18.8,5,3,4.2,5.4,5.1,-2.6
"9/6/10 2:00 AM",1.15,45,45,45,35.31,1551,1546,1629,1769,8,8,10,9,13.9,7.1,126.1,35,14.6,18.8,5,3,4.2,5.4,5.3,-3.1
"9/6/10 1:00 AM",0.72,45,45,45,35.38,1586,1588,1623,1750,8,8,10,9,12.3,7.1,126.1,35,14.2,19,5,3,4.3,5.3,5.2,-2.7
"9/6/10 12:00 AM",0.82,45,45,45,35.46,1580,1599,1619,1707,9,8,10,9,12.2,6.4,126.1,35,14.2,19,5.2,3,4.1,5.4,5.2,-2.9
"9/5/10 11:00 PM",0.57,45,45,45,35.51,1559,1421,1449,1588,8,7,9,8,11.7,7.2,126.1,35,14.2,19,5.2,3,4.2,5.3,5.2,-2.9
"9/5/10 10:00 PM",0.51,45,45,45,35.54,1493,1481,1557,1561,7,7,10,8,12.6,7.3,126.1,35,14.2,19,4.8,3,4.2,5.4,5.2,-2.5
"9/5/10 9:00 PM",0.45,45,45,45,35.58,1512,1489,1619,1692,8,7,10,9,13.3,6.6,126.1,35,14.5,18.6,5,3,4.1,5.4,5.2,-2.7
"9/5/10 8:00 PM",0.35,45,45,45,35.61,1501,1611,1670,1758,8,8,10,9,12,6.5,126.1,35,14.5,18.6,5.1,3,4.3,5.4,5.3,-2.9
"9/5/10 7:00 PM",0.47,45,45,45,35.65,1540,1529,1561,1635,8,8,9,9,12.6,6.9,185,66,14.5,18.6,5,3,4.2,5.3,5.1,-2
"9/5/10 6:00 PM",0.67,45,45,45,35.68,1465,1367,1605,1696,7,7,10,9,12.6,7.3,185,66,14.5,18.6,4.7,3,4.2,5.2,5.2,-2.3
"9/5/10 5:00 PM",0.87,45,45,45,35.72,1580,1631,1626,1870,9,8,10,10,12.5,8.1,185,66,14.2,17.5,5.1,3,4.5,5.2,5.4,-2
"9/5/10 4:00 PM",1.33,45,45,45,35.75,1610,1603,1826,1939,8,8,10,9,14.1,7.1,185,66,14.2,17.5,4.7,3,4.4,5.5,5.4,-1.7
"9/5/10 3:00 PM",1.44,45,45,45,35.82,1631,1564,1689,1857,9,8,10,9,12.4,6.8,185,66,14.2,17.5,5.1,3,4.6,5.2,5.3,-1.8
"9/5/10 2:00 PM",1.56,45,45,45,35.92,1568,1557,1736,1735,7,8,10,8,11.6,7.5,185,66,14.2,17.5,4.9,3,4.4,5.5,5.2,-1.9
"9/5/10 1:00 PM",1.7,45,45,45,36.01,1514,1395,1579,1813,8,7,9,9,12.1,8.3,199.8,45.8,14,17.2,5.2,3,4.5,5.1,5.1,-0.8
"9/5/10 12:00 PM",1.8,45,45,45,36.11,1560,1661,1807,1819,8,9,11,9,13.1,10.1,199.8,45.8,14,17.2,5,3,4.6,5.4,5.2,-0.7
"9/5/10 11:00 AM",1.76,98,98,98,36.2,1568,1421,1494,1677,7,8,9,9,14.5,9.8,199.8,45.8,14,17.2,4,3,5,5.2,5.1,0.4
"9/5/10 10:00 AM",1.88,65,65,65,36.29,1309,1293,1439,1599,7,7,8,9,13.8,9.5,199.8,45.8,14,17.2,5.1,3,5.1,5.1,5,1.1
"9/5/10 9:00 AM",2.39,65,65,65,36.39,1619,1475,1614,1772,7,8,10,9,13.4,9.4,199.8,45.8,13.9,16.8,4.2,3,5,5.3,5.2,0.4
"9/5/10 8:00 AM",2.51,65,65,65,36.48,1593,1558,1606,1641,8,8,10,9,13.2,9.2,199.8,45.8,13.9,16.8,4.9,3,5.1,5.3,5.2,1.5
"9/5/10 7:00 AM",2.43,65,65,65,36.62,1517,1518,1532,1577,8,8,9,8,13.6,9.4,199.8,45.8,13.9,16.8,5,3,5.1,5.2,5.1,2.1
"9/5/10 6:00 AM",2.44,65,65,65,36.78,1578,1555,1543,1671,9,8,9,9,13.6,9.3,199.8,45.8,13.9,16.8,5.1,3,5.1,5.2,5.1,1.7
